"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",,"Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",,"Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",,"Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,"Attribute","","",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",,"Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",,"Attribute","","",""
"CAMPAIGN_GOALS","キャンペーン目的","Campaign goals","campaignGoals","STRING",,"Segment","ブランド認知,動画再生,サイト誘導,アプリ訴求,コンバージョン,商品リスト訴求,来店促進,PayPayギフト,友だち追加,未設定","Brand awareness,Video view,Website traffic,App promotion,Conversions,Item list promotion,Store-visit promotion,PayPay Gift,Gain friends,None",""
"CAMPAIGN_BUYING_TYPE","キャンペーン購入タイプ","Campaign buying type","campaignBuyingType","STRING",,"Attribute","運用型,予約型","Auction,Guaranteed",""
"COST_FOR_MODEL_COMPARISON","コスト","Cost","cost","DOUBLE",,"Metric","","","データを取得できない場合、--が設定されます。 / When failed to acquire data, a -- will be set."
"BASE_MODEL","比較元モデル","Base model","baseModel","STRING",,"Attribute","ラストタッチ,ファーストタッチ,線形,接点ベース","Last touch,First touch,Linear,Position-based",""
"COMPARATIVE_MODEL","比較先モデル","Comparative model","comparativeModel","STRING",,"Attribute","ラストタッチ,ファーストタッチ,線形,接点ベース","Last touch,First touch,Linear,Position-based",""
"BASE_MODEL_CONVERSIONS_INCL_V_THRU","比較元モデルのコンバージョン数（ビュースルーを含む）への貢献度","Credits for conversions (incl. view-through) in the base model","baseModelConversionsInclVThru","DOUBLE",,"Metric","","",""
"COMPARATIVE_MODEL_CONVERSIONS_INCL_V_THRU","比較先モデルのコンバージョン数（ビュースルーを含む）への貢献度","Credits for conversions (incl. view-through) in the comparative model","comparativeModelConversionsInclVThru","DOUBLE",,"Metric","","",""
"RATE_OF_CHANGE_OF_CONVERSIONS_INCL_V_THRU","コンバージョン数（ビュースルーを含む）への貢献度の変化率","Change rate of credits for conversions (incl. view-through)","changeRateOfCreditsForConversionsInclVThru","DOUBLE",,"Metric","","",""
"BASE_MODEL_COST_PER_CONV_INCL_V_THRU","比較元モデルのコスト/コンバージョン数（ビュースルーを含む）への貢献度","Credits for cost/conv. (incl. view-through) in the base model","baseModelCostPerConvInclVThru","DOUBLE",,"Metric","","","データを取得できない場合、--が設定されます。 / When failed to acquire data, a -- will be set."
"COMPARATIVE_MODEL_COST_PER_CONV_INCL_V_THRU","比較先モデルのコスト/コンバージョン数（ビュースルーを含む）への貢献度","Credits for cost/conv. (incl. view-through) in the comparative model","comparativeModelCostPerConvInclVThru","DOUBLE",,"Metric","","","データを取得できない場合、--が設定されます。 / When failed to acquire data, a -- will be set."
"RATE_OF_CHANGE_OF_COST_PER_CONV_INCL_V_THRU","コスト/コンバージョン数（ビュースルーを含む）への貢献度の変化率","Change rate of credits for cost/conv. (incl. view-through)","changeRateOfCreditsForCostPerConvInclVThru","DOUBLE",,"Metric","","","データを取得できない場合、--が設定されます。 / When failed to acquire data, a -- will be set."
"BASE_MODEL_CONV_VALUE_INCL_V_THRU","比較元モデルのコンバージョンの価値（ビュースルーを含む）への貢献度","Credits for conv. value (incl. view-through) in the base model","baseModelConvValueInclVThru","DOUBLE",,"Metric","","",""
"COMPARATIVE_MODEL_CONV_VALUE_INCL_V_THRU","比較先モデルのコンバージョンの価値（ビュースルーを含む）への貢献度","Credits for conv. value (incl. view-through) in the comparative model","comparativeModelConvValueInclVThru","DOUBLE",,"Metric","","",""
"RATE_OF_CHANGE_OF_CONV_VALUE_INCL_V_THRU","コンバージョンの価値（ビュースルーを含む）への貢献度の変化率","Change rate of credits for conv. value (incl. view-through)","changeRateOfCreditsForConvValueInclVThru","DOUBLE",,"Metric","","",""
"BASE_MODEL_CONV_VALUE_INCL_V_THRU_PER_COST","比較元モデルのコンバージョンの価値（ビュースルーを含む）/コストへの貢献度","Credits for conv. value (incl. view-through)/cost in the base model","baseModelConvValueInclVThruPerCost","DOUBLE",,"Metric","","","データを取得できない場合、--が設定されます。 / When failed to acquire data, a -- will be set."
"COMPARATIVE_MODEL_CONV_VALUE_INCL_V_THRU_PER_COST","比較先モデルのコンバージョンの価値（ビュースルーを含む）/コストへの貢献度","Credits for conv. value (incl. view-through)/cost in the comparative model","comparativeModelConvValueInclVThruPerCost","DOUBLE",,"Metric","","","データを取得できない場合、--が設定されます。 / When failed to acquire data, a -- will be set."
"RATE_OF_CHANGE_OF_CONV_VALUE_INCL_V_THRU_PER_COST","コンバージョンの価値（ビュースルーを含む）/コストへの貢献度の変化率","Change rate of credits for conv. value (incl. view-through)/cost","changeRateOfCreditsForConvValueInclVThruPerCost","DOUBLE",,"Metric","","","データを取得できない場合、--が設定されます。 / When failed to acquire data, a -- will be set."
